ID,Sex,Orientation,Age,Ethnicity,ImpOppSex_Ambitious,ImpOppSex_Body,ImpOppSex_Face,ImpOppSex_Kids,ImpOppSex_Stable,ImpOppSex_Sex,ImpOppSex_Finances,ImpOppSex_Generous,ImpOppSex_Humor,ImpOppSex_Healthy,ImpOppSex_Independent,ImpOppSex_Intelligent,ImpOppSex_Kind,ImpOppSex_Loyal,ImpOppSex_Responsible,ImpOppSex_Sociable,ImpYou_Ambitious,ImpYou_Body,ImpYou_Face,ImpYou_Kids,ImpYou_Stable,ImpYou_Sex,ImpYou_Finances,ImpYou_Generous,ImpYou_Humor,ImpYou_Healthy,ImpYou_Independent,ImpYou_Intelligent,ImpYou_Kind,ImpYou_Loyal,ImpYou_Responsible,ImpYou_Sociable,You_Relative_Ambitious,You_Relative_Body,You_Relative_Face,You_Relative_Kids,You_Relative_Stable,You_Relative_Sex,You_Relative_Finances,You_Relative_Generous,You_Relative_Humor,You_Relative_Healthy,You_Relative_Independent,You_Relative_Intelligent,You_Relative_Kind,You_Relative_Loyal,You_Relative_Responsible,You_Relative_Sociable,You_Relative_Overall,Status,Partner_Ambitious,Partner_Body,Partner_Face,Partner_Kids,Partner_Stable,Partner_Sex,Partner_Finances,Partner_Generous,Partner_Humor,Partner_Healthy,Partner_Independent,Partner_Intelligent,Partner_Kind,Partner_Loyal,Partner_Responsible,Partner_Sociable,Partner_Compared_Overall
2066,Female,Heterosexual,21,Latino or Hispanic,4,8,7,6,8,9,5,5,7,8,8,6,6,7,6,6,9,5,8,9,9,6,8,9,9,7,9,8,9,9,9,8,3,1,1,2,2,1,2,2,2,1,3,2,3,3,3,2,8,In a committed relationship,2,1,2,2,2,0,2,3,2,1,3,3,3,3,3,1,7
1790,Female,Heterosexual,19,Non-Hispanic White,8,8,8,7,9,6,9,6,8,8,7,7,7,9,9,7,8,8,8,8,8,6,7,7,9,8,7,8,8,9,9,7,3,2,2,3,2,1,2,2,3,2,3,3,3,3,3,3,8,In a committed relationship,3,3,3,3,3,3,2,2,3,2,2,3,3,3,3,2,10
2018,Female,Heterosexual,28,African American or Black,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,-1,2,3,3,3,0,3,3,3,3,3,3,3,3,3,7,In a committed relationship,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10
2098,Female,Bi-sexual,18,Non-Hispanic White,7,6,6,3,8,9,7,7,8,5,5,7,8,9,8,6,6,7,7,4,6,9,8,7,7,5,5,7,8,9,8,8,1,0,1,1,0,3,1,2,2,2,0,1,3,3,2,3,7,In a committed relationship,2,2,2,1,-1,3,1,1,1,0,0,0,2,3,3,-2,8
2054,Female,Heterosexual,18,Non-Hispanic White,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,0,1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,9,"Single, dating",,,,,,,,,,,,,,,,,
2051,Female,Heterosexual,18,Non-Hispanic White,5,7,7,5,7,8,6,5,6,8,8,7,8,7,7,5,9,7,7,9,6,7,5,6,7,8,7,,8,9,9,5,3,0,0,1,0,-1,0,1,0,1,2,2,2,1,3,-2,7,"Single, not dating",,,,,,,,,,,,,,,,,
2096,Male,Homosexual,22,African American or Black,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,"Single, not dating",,,,,,,,,,,,,,,,,
2091,Male,Heterosexual,21,Latino or Hispanic,7,5,5,9,8,5,9,5,8,5,7,7,9,9,7,4,7,7,7,9,8,8,4,5,7,6,2,8,9,9,7,4,1,0,0,2,0,2,0,0,3,-1,-1,1,3,3,0,-1,7,In a committed relationship,2,2,2,2,0,1,1,3,3,0,0,1,1,2,2,2,9
1464,Female,Heterosexual,21,Arab or Middle Eastern,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,In a committed relationship,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
1507,Female,Heterosexual,21,African American or Black,5,5,6,8,6,7,7,5,5,6,5,7,6,9,5,6,6,5,5,6,4,7,6,4,6,6,7,7,5,6,4,6,1,1,0,2,1,0,2,2,2,2,1,0,1,1,0,1,6,"Single, not dating",,,,,,,,,,,,,,,,,
2095,Female,Heterosexual,18,Non-Hispanic White,9,8,8,6,7,9,7,8,8,9,6,7,8,9,9,7,9,8,8,9,7,7,7,8,9,9,8,8,9,9,9,8,2,0,0,3,-2,0,0,1,3,3,2,0,2,3,3,3,5,"Single, not dating",,,,,,,,,,,,,,,,,
2085,Female,Heterosexual,20,Other,6,6,7,4,4,3,5,7,7,6,8,7,7,8,7,8,7,8,7,4,6,5,6,6,8,7,8,7,8,8,8,8,1,1,1,-2,2,-1,-3,0,2,2,2,2,2,2,1,2,6,"Single, not dating",,,,,,,,,,,,,,,,,
2092,Female,Heterosexual,19,Latino or Hispanic,4,6,6,7,8,8,8,9,9,9,9,8,8,9,9,9,4,6,6,8,8,8,8,9,9,9,9,9,9,9,9,9,0,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,8,"Single, dating",,,,,,,,,,,,,,,,,
